Nombre,N1,N2,N3,N4,Puntaje
 kingalexx27,2,0,0,0,2
 vainilla,2,0,0,0,2
 wirito,5,0,0,0,5
 vil mentira,2,2,0,0,6
 deathiro,4,1,0,0,6
 zlonburn,1,0,0,0,1
 zlonhated,2,0,0,0,2
 n4 versachi,14,0,0,0,14
 sathariel 69,7,1,0,0,9
 adadi,2,0,0,0,2
 king beti001,1,0,0,0,1
 theriver2007,5,0,0,0,5
 vizconde puf,2,0,0,0,2
 joselito170,2,0,0,0,2
 br1mrcelo,4,1,0,0,6
 jesus1478 3,2,0,0,0,2
 srcel,1,0,0,0,1
 dyk12,2,0,0,0,2
 vd versachi,3,1,0,0,5
 rp d,5,0,0,0,5
 ca0sss,2,0,0,0,2
 kinichi,1,0,0,0,1
 eraclium,1,0,0,0,1
 freya2111,2,0,0,0,2
 lordkanino19,5,2,0,1,73
 gadriels,4,0,0,0,4
 nathy7,2,0,0,0,2
 jocs4,4,0,0,0,4
 hirowiro,5,0,0,0,5
 ziondies,2,0,0,0,2
 oscar asis04,2,1,0,0,4
 carolus6,3,1,0,0,5
 zionburn,2,0,0,0,2
 eracllum,1,0,0,0,1
 chuki 03,4,0,0,0,4
 sternercrono,1,0,0,0,1
 juan d98,2,2,1,0,22
 chukl 03,1,0,0,0,1
 gracy lu,3,0,0,0,3
 elver,2,0,0,0,2
 king betio01,1,0,0,0,1
 xxxaztecaxx1,1,0,0,0,1
 jose rosario,4,0,0,0,4
 97azteca97,3,0,0,0,3
 carlos ecf,2,0,0,0,2
 xacobeo21,2,0,0,0,2
 bri1mrcelo,1,0,0,0,1
 001padre,1,0,0,0,1
rpd,2,0,0,0,2
